,size,timing
0,1000,2.055712938308716
1,2000,0.923281192779541
2,3000,1.0442988872528076
3,4000,1.048034906387329
4,5000,1.180164098739624
5,6000,1.2539279460906982
6,7000,1.2259421348571777
7,8000,1.3482670783996582
8,9000,1.4161930084228516
9,10000,1.5376651287078857
10,11000,2.1364731788635254
11,12000,1.9944767951965332
12,13000,1.8150229454040527
13,14000,1.8561241626739502
14,15000,2.0832159519195557
15,16000,2.128464698791504
16,17000,2.342355966567993
17,18000,2.4655909538269043
18,19000,2.297179937362671
19,20000,2.2898366451263428
20,21000,2.2863621711730957
21,22000,2.40362286567688
22,23000,2.6484270095825195
23,24000,2.519359827041626
24,25000,2.5999720096588135
25,26000,2.7188761234283447
26,27000,2.786919116973877
27,28000,2.764934778213501
28,29000,2.7556331157684326
29,30000,3.1045687198638916
30,31000,3.2177929878234863
31,32000,2.88431978225708
32,33000,2.931596040725708
33,34000,2.9848382472991943
34,35000,3.6760098934173584
35,36000,3.049759864807129
36,37000,3.2138750553131104
37,38000,3.257112979888916
38,39000,3.3251070976257324
39,40000,3.2789509296417236
40,41000,3.136012077331543
41,42000,3.248491048812866
42,43000,3.1293392181396484
43,44000,3.5380890369415283
44,45000,3.3534700870513916
45,46000,3.4099669456481934
46,47000,3.5703840255737305
47,48000,3.330010175704956
48,49000,3.4494290351867676
49,50000,3.4952828884124756
50,51000,3.353579044342041
51,52000,3.4327311515808105
52,53000,4.479351043701172
53,54000,3.7012059688568115
54,55000,3.548358201980591
55,56000,3.5821638107299805
56,57000,4.059889793395996
57,58000,3.88907527923584
58,59000,3.6967222690582275
59,60000,3.904852867126465
60,61000,4.160274028778076
61,62000,4.170984983444214
62,63000,3.8360347747802734
63,64000,3.928992986679077
64,65000,3.945298194885254
65,66000,4.056793928146362
66,67000,3.9020628929138184
67,68000,4.854977130889893
68,69000,4.063982725143433
69,70000,4.283442974090576
70,71000,4.174562215805054
71,72000,4.074148178100586
72,73000,4.168415307998657
73,74000,4.508172988891602
74,75000,4.720099925994873
75,76000,4.175357818603516
76,77000,4.233088970184326
77,78000,4.926447153091431
78,79000,4.787328004837036
79,80000,4.354312181472778
80,81000,4.6410040855407715
81,82000,4.469472169876099
82,83000,4.737333059310913
83,84000,4.558512926101685
84,85000,4.876433849334717
85,86000,4.597691774368286
86,87000,4.606866121292114
87,88000,4.976237773895264
88,89000,4.7656378746032715
89,90000,4.810196876525879
90,91000,4.715949058532715
91,92000,5.887166976928711
92,93000,4.978677034378052
93,94000,5.250223159790039
94,95000,4.977593183517456
95,96000,5.2251057624816895
96,97000,4.975371599197388
97,98000,5.010050058364868
98,99000,4.959585189819336
99,100000,5.321584939956665
